A1:1
A2:1
A3:1
C10:1
C11:1
C12:1
C122:1
C123:1
C124:1
C125:1
C13:1
C130:1
C131:1
C132:1
C134:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
C29:1
C30:1
C31:1
C32:1
C33:1
C34:1
C35:1
C36:1
C37:1
C38:1
C39:1
C40:1
C41:1
C42:1
C43:1
C44:1
C45:1
C46:1
C47:1
C77:1
C78:1
C79:1
C8:1
C80:1
C81:1
C82:1
C83:1
C84:1
C85:1
G***:2
H1:1
IC1:1
IC4:1
J1:1
J2:1
J3:1
J4:1
J5:1
J6:1
JP12:1
JP29:1
JP30:1
JP31:1
JP32:1
JP33:1
R19:1
R20:1
R21:1
R22:1
R23:1
R24:1
R25:1
R26:1
R27:1
R28:1
R29:1
R30:1
R31:1
R32:1
R33:1
R34:1
R35:1
R36:1
R37:1
R38:1
R39:1
R40:1
R41:1
R42:1
R43:1
R50:1
R51:1
R52:1
R53:1
R54:1
R55:1
R56:1
R57:1
R58:1
R59:1
R60:1
R61:1
R62:1
R63:1
R64:1
U1:1
U10:1
U11:1
U12:1
U2:1
U3:1
U4:1
U5:1
U6:1
U7:1
U8:1
U9:1
